service_id,date,exception_type
1,20230220,1
2,20230225,1
2,20230304,1
2,20230311,1
2,20230318,1
2,20230325,1
2,20230401,1
2,20230408,1
2,20230415,1
2,20230422,1
2,20230429,1
2,20230506,1
2,20230513,1
2,20230520,1
2,20230527,1
2,20230603,1
2,20230610,1
2,20230617,1
2,20230624,1
2,20230701,1
2,20230708,1
2,20230715,1
2,20230722,1
2,20230729,1
2,20230805,1
2,20230812,1
3,20230226,1
3,20230305,1
3,20230312,1
3,20230319,1
3,20230326,1
3,20230402,1
3,20230409,1
3,20230416,1
3,20230423,1
3,20230430,1
3,20230507,1
3,20230514,1
3,20230521,1
3,20230528,1
3,20230604,1
3,20230611,1
3,20230618,1
3,20230625,1
3,20230702,1
3,20230709,1
3,20230716,1
3,20230723,1
3,20230730,1
3,20230806,1
3,20230813,1
4,20230221,1
4,20230222,1
4,20230223,1
4,20230224,1
4,20230227,1
4,20230228,1
4,20230301,1
4,20230302,1
4,20230303,1
4,20230306,1
4,20230307,1
4,20230308,1
4,20230309,1
4,20230310,1
4,20230313,1
4,20230314,1
4,20230315,1
4,20230316,1
4,20230317,1
4,20230320,1
4,20230321,1
4,20230322,1
4,20230323,1
4,20230324,1
4,20230327,1
4,20230328,1
4,20230329,1
4,20230330,1
4,20230331,1
4,20230403,1
4,20230404,1
4,20230405,1
4,20230406,1
4,20230407,1
4,20230410,1
4,20230411,1
4,20230412,1
4,20230413,1
4,20230414,1
4,20230417,1
4,20230418,1
4,20230419,1
4,20230420,1
4,20230421,1
4,20230424,1
4,20230425,1
4,20230426,1
4,20230427,1
4,20230428,1
4,20230501,1
4,20230502,1
4,20230503,1
4,20230504,1
4,20230505,1
4,20230508,1
4,20230509,1
4,20230510,1
4,20230511,1
4,20230512,1
4,20230515,1
4,20230516,1
4,20230517,1
4,20230518,1
4,20230519,1
4,20230522,1
4,20230523,1
4,20230524,1
4,20230525,1
4,20230526,1
4,20230529,1
4,20230530,1
4,20230531,1
4,20230601,1
4,20230602,1
4,20230605,1
4,20230606,1
4,20230607,1
4,20230608,1
4,20230609,1
4,20230612,1
4,20230613,1
4,20230614,1
4,20230615,1
4,20230616,1
4,20230619,1
4,20230620,1
4,20230621,1
4,20230622,1
4,20230623,1
4,20230626,1
4,20230627,1
4,20230628,1
4,20230629,1
4,20230630,1
4,20230703,1
4,20230704,1
4,20230705,1
4,20230706,1
4,20230707,1
4,20230710,1
4,20230711,1
4,20230712,1
4,20230713,1
4,20230714,1
4,20230717,1
4,20230718,1
4,20230719,1
4,20230720,1
4,20230721,1
4,20230724,1
4,20230725,1
4,20230726,1
4,20230727,1
4,20230728,1
4,20230731,1
4,20230801,1
4,20230802,1
4,20230803,1
4,20230804,1
4,20230807,1
4,20230808,1
4,20230809,1
4,20230810,1
4,20230811,1
4,20230814,1
4,20230815,1
4,20230816,1
4,20230817,1
4,20230818,1
5,20230220,1
5,20230225,1
5,20230304,1
5,20230311,1
5,20230318,1
5,20230325,1
5,20230401,1
5,20230408,1
5,20230415,1
5,20230422,1
5,20230429,1
5,20230506,1
5,20230513,1
5,20230520,1
5,20230527,1
5,20230603,1
5,20230610,1
5,20230617,1
5,20230624,1
5,20230701,1
5,20230708,1
5,20230715,1
5,20230722,1
5,20230729,1
5,20230805,1
5,20230812,1
6,20230220,1
6,20230221,1
6,20230222,1
6,20230223,1
6,20230224,1
6,20230227,1
6,20230228,1
6,20230301,1
6,20230302,1
6,20230303,1
6,20230306,1
6,20230307,1
6,20230308,1
6,20230309,1
6,20230310,1
6,20230313,1
6,20230314,1
